Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AUTO","AUTO TRADER GROUP PLC","Kommunikation","Aktien","8.370.338,39","0,08","8.370.338,39","874.399,00","9,57","Vereinigtes Königreich","London Stock Exchange","GBP"
"BNZL","BUNZL","Industrie","Aktien","8.361.914,24","0,08","8.361.914,24","314.163,00","26,62","Vereinigtes Königreich","London Stock Exchange","GBP"
"HEIO","HEINEKEN HOLDING NV","Nichtzyklische Konsumgüter","Aktien","8.297.777,25","0,08","8.297.777,25","127.169,00","65,25","Niederlande","Euronext Amsterdam","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Versorger","Aktien","8.294.345,38","0,08","8.294.345,38","652.468,00","12,71","Vereinigtes Königreich","London Stock Exchange","GBP"
"ASRNL","ASR NEDERLAND NV","Financials","Aktien","8.203.697,46","0,08","8.203.697,46","143.271,00","57,26","Niederlande","Euronext Amsterdam","EUR"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aktien","8.197.089,21","0,08","8.197.089,21","44.290,00","185,08","Schweiz","SIX Swiss Exchange","CHF"
"ITRK","INTERTEK GROUP PLC","Industrie","Aktien","8.189.522,51","0,08","8.189.522,51","145.016,00","56,47","Vereinigtes Königreich","London Stock Exchange","GBP"
"ANTO","ANTOFAGASTA PLC","Materialien","Aktien","8.180.228,61","0,08","8.180.228,61","388.073,00","21,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"PST","POSTE ITALIANE","Financials","Aktien","8.159.244,90","0,08","8.159.244,90","455.188,00","17,93","Italien","Borsa Italiana","EUR"
"G24","SCOUT24 N","Kommunikation","Aktien","8.151.462,00","0,08","8.151.462,00","68.615,00","118,80","Deutschland","Xetra","EUR"
"BVI","BUREAU VERITAS SA","Industrie","Aktien","8.101.700,48","0,08","8.101.700,48","291.848,00","27,76","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EXO","EXOR NV","Financials","Aktien","8.041.684,00","0,08","8.041.684,00","90.356,00","89,00","Niederlande","Euronext Amsterdam","EUR"
"ELE","ENDESA SA","Versorger","Aktien","8.031.252,88","0,08","8.031.252,88","310.807,00","25,84","Spanien","Bolsa De Madrid","EUR"
"QIA","QIAGEN NV","Gesundheitsversorgung","Aktien","7.994.967,90","0,08","7.994.967,90","192.418,00","41,55","Deutschland","Deutsche Börse AG","EUR"
"ABF","ASSOCIATED BRITISH FOODS PLC","Nichtzyklische Konsumgüter","Aktien","7.973.619,62","0,08","7.973.619,62","319.287,00","24,97","Vereinigtes Königreich","London Stock Exchange","GBP"
"WISE","WISE PLC CLASS A","Financials","Aktien","7.688.649,82","0,08","7.688.649,82","622.677,00","12,35","Vereinigtes Königreich","London Stock Exchange","GBP"
"CON","CONTINENTAL AG","Zyklische Konsumgüter ","Aktien","7.681.016,00","0,08","7.681.016,00","101.066,00","76,00","Deutschland","Xetra","EUR"
"AGN","AEGON LTD","Financials","Aktien","7.660.236,83","0,08","7.660.236,83","1.253.311,00","6,11","Niederlande","Euronext Amsterdam","EUR"
"TEL","TELENOR","Kommunikation","Aktien","7.516.894,66","0,07","7.516.894,66","558.470,00","13,46","Norwegen","Oslo Bors Asa","NOK"
"MRO","MELROSE INDUSTRIES PLC","Industrie","Aktien","7.517.474,64","0,07","7.517.474,64","1.211.949,00","6,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"MAERSK B","A P MOLLER MAERSK B","Industrie","Aktien","7.463.504,30","0,07","7.463.504,30","4.318,00","1.728,46","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"FGR","EIFFAGE SA","Industrie","Aktien","7.451.252,05","0,07","7.451.252,05","63.877,00","116,65","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MKS","MARKS AND SPENCER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","7.368.070,71","0,07","7.368.070,71","1.897.182,00","3,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"SVT","SEVERN TRENT PLC","Versorger","Aktien","7.362.406,76","0,07","7.362.406,76","241.078,00","30,54","Vereinigtes Königreich","London Stock Exchange","GBP"
"ADDT B","ADDTECH CLASS B","Industrie","Aktien","7.306.233,01","0,07","7.306.233,01","241.877,00","30,21","Schweden","Nasdaq Omx Nordic","SEK"
"NEM","NEMETSCHEK","IT","Aktien","7.286.492,40","0,07","7.286.492,40","56.397,00","129,20","Deutschland","Xetra","EUR"
"SCHN","SCHINDLER HOLDING AG","Industrie","Aktien","7.229.166,32","0,07","7.229.166,32","23.095,00","313,02","Schweiz","SIX Swiss Exchange","CHF"
"BKT","BANKINTER SA","Financials","Aktien","7.139.010,48","0,07","7.139.010,48","632.891,00","11,28","Spanien","Bolsa De Madrid","EUR"
"MOWI","MOWI","Nichtzyklische Konsumgüter","Aktien","7.121.937,78","0,07","7.121.937,78","432.653,00","16,46","Norwegen","Oslo Bors Asa","NOK"
"LIFCO B","LIFCO CLASS B","Industrie","Aktien","7.117.074,55","0,07","7.117.074,55","223.952,00","31,78","Schweden","Nasdaq Omx Nordic","SEK"
"EN","BOUYGUES SA","Industrie","Aktien","7.108.494,36","0,07","7.108.494,36","183.777,00","38,68","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BOL","BOLIDEN","Materialien","Aktien","7.091.219,10","0,07","7.091.219,10","264.733,00","26,79","Schweden","Nasdaq Omx Nordic","SEK"
"PSON","PEARSON PLC","Zyklische Konsumgüter ","Aktien","7.085.192,15","0,07","7.085.192,15","581.434,00","12,19","Vereinigtes Königreich","London Stock Exchange","GBP"
"BPE","BPER BANCA","Financials","Aktien","6.915.058,92","0,07","6.915.058,92","920.535,00","7,51","Italien","Borsa Italiana","EUR"
"HELN","HELVETIA HOLDING AG","Financials","Aktien","6.880.923,39","0,07","6.880.923,39","32.985,00","208,61","Schweiz","SIX Swiss Exchange","CHF"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energie","Aktien","6.791.325,00","0,07","6.791.325,00","427.800,00","15,88","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
