Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"HEN","HENKEL AG","Nichtzyklische Konsumgüter","Aktien","1.829.865,53","0,01","1.829.865,53","25.260,00","72,44","Deutschland","Xetra","EUR"
"WIX","WIX.COM LTD","IT","Aktien","1.826.935,46","0,01","1.826.935,46","11.998,00","152,27","Israel","NASDAQ","USD"
"5411","JFE HOLDINGS INC","Materialien","Aktien","1.823.656,23","0,01","1.823.656,23","148.600,00","12,27","Japan","Tokyo Stock Exchange","JPY"
"3","HONG KONG AND CHINA GAS LTD","Versorger","Aktien","1.824.466,10","0,01","1.824.466,10","2.134.435,00","0,85","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Aktien","1.818.581,48","0,01","1.818.581,48","21.059,00","86,36","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"3231","WISTRON CORP","IT","Aktien","1.820.399,15","0,01","1.820.399,15","445.000,00","4,09","Taiwan","Taiwan Stock Exchange","TWD"
"GWO","GREAT WEST LIFECO INC","Financials","Aktien","1.818.359,30","0,01","1.818.359,30","47.538,00","38,25","Kanada","Toronto Stock Exchange","CAD"
"JMT","JERONIMO MARTINS SA","Nichtzyklische Konsumgüter","Aktien","1.813.450,43","0,01","1.813.450,43","69.233,00","26,19","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"2883","KGI FINANCIAL HOLDING LTD","Financials","Aktien","1.808.888,47","0,01","1.808.888,47","3.465.000,00","0,52","Taiwan","Taiwan Stock Exchange","TWD"
"ERF","EUROFINS SCIENTIFIC","Gesundheitsversorgung","Aktien","1.797.571,83","0,01","1.797.571,83","25.367,00","70,86","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DHER","DELIVERY HERO","Zyklische Konsumgüter ","Aktien","1.797.750,46","0,01","1.797.750,46","62.802,00","28,63","Deutschland","Xetra","EUR"
"2413","M3 INC","Gesundheitsversorgung","Aktien","1.795.575,61","0,01","1.795.575,61","141.500,00","12,69","Japan","Tokyo Stock Exchange","JPY"
"BSL","BLUESCOPE STEEL LTD","Materialien","Aktien","1.792.993,80","0,01","1.792.993,80","111.059,00","16,14","Australien","Asx - All Markets","AUD"
"SOF","SOFINA SA","Financials","Aktien","1.794.086,93","0,01","1.794.086,93","5.620,00","319,23","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrie","Aktien","1.787.801,50","0,01","1.787.801,50","77.873,00","22,96","Mexiko","Bolsa Mexicana De Valores","MXN"
"IEX","IDEX CORP","Industrie","Aktien","1.770.784,26","0,01","1.770.784,26","9.758,00","181,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INW","INFRASTRUTTURE WIRELESS ITALIANE","Kommunikation","Aktien","1.770.880,24","0,01","1.770.880,24","147.460,00","12,01","Italien","Borsa Italiana","EUR"
"NRP","NEPI ROCKCASTLE NV","Immobilien","Aktien","1.767.994,92","0,01","1.767.994,92","235.232,00","7,52","Südafrika","Johannesburg Stock Exchange","ZAR"
"F34","WILMAR INTERNATIONAL LTD","Nichtzyklische Konsumgüter","Aktien","1.765.207,37","0,01","1.765.207,37","766.100,00","2,30","Singapur","Singapore Exchange","SGD"
"CA","CARREFOUR SA","Nichtzyklische Konsumgüter","Aktien","1.758.634,56","0,01","1.758.634,56","122.421,00","14,37","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"003550","LG CORP","Industrie","Aktien","1.756.314,28","0,01","1.756.314,28","29.290,00","59,96","Korea","Korea Exchange (Stock Market)","KRW"
"3034","NOVATEK MICROELECTRONICS CORP","IT","Aktien","1.748.870,33","0,01","1.748.870,33","103.000,00","16,98","Taiwan","Taiwan Stock Exchange","TWD"
"UHALB","U HAUL NON VOTING SERIES N","Industrie","Aktien","1.743.712,11","0,01","1.743.712,11","31.199,00","55,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RXL","REXEL SA","Industrie","Aktien","1.739.013,25","0,01","1.739.013,25","56.697,00","30,67","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"9502","CHUBU ELECTRIC POWER INC","Versorger","Aktien","1.737.459,37","0,01","1.737.459,37","143.400,00","12,12","Japan","Tokyo Stock Exchange","JPY"
"2333","GREAT WALL MOTOR COMPANY LTD H","Zyklische Konsumgüter ","Aktien","1.738.731,21","0,01","1.738.731,21","1.068.000,00","1,63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3529","EMEMORY TECHNOLOGY INC","IT","Aktien","1.721.723,95","0,01","1.721.723,95","21.000,00","81,99","Taiwan","Gretai Securities Market","TWD"
"3017","ASIA VITAL COMPONENTS LTD","IT","Aktien","1.698.617,01","0,01","1.698.617,01","60.000,00","28,31","Taiwan","Taiwan Stock Exchange","TWD"
"TEP","TELEPERFORMANCE","Industrie","Aktien","1.699.362,28","0,01","1.699.362,28","16.758,00","101,41","Frankreich","Nyse Euronext - Euronext Paris","EUR"
